,Title,Artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1554,The State I Am in,Belle & Sebastian,0.484,0.381,-13.232,0.0361,0.501,0.0,0.114,0.409,144.939,297987
1555,Cattle and Cane (Live),The Go-Betweens,0.596,0.497,-10.971,0.0423,0.84,0.000127,0.275,0.543,126.652,217533
1556,Green River,Creedence Clearwater Revival,0.702,0.742,-9.621,0.0286,0.035,0.0064,0.0972,0.972,141.664,154120
1557,Being Boiled,The Human League,0.727,0.751,-12.35,0.0389,0.61,0.0199,0.114,0.312,102.871,219307
1558,One Of These Nights,Eagles,0.645,0.634,-9.482,0.0277,0.0469,0.0811,0.0902,0.768,110.061,291867
1559,Disco 2000,Pulp,0.567,0.932,-5.888,0.0759,0.0147,0.0,0.0484,0.55,133.074,273733
1560,Hyph Mngo,Joy Orbison,0.485,0.552,-9.202,0.0543,0.116,0.0455,0.0864,0.0676,139.792,338413
1561,How Deep Is Your Love (2007 Remastered Saturday Night Fever LP Version),Bee Gees,0.63,0.357,-9.392,0.026,0.0999,0.0,0.128,0.683,104.965,245200
1562,Red Alert,Basement Jaxx,0.669,0.93,-4.125,0.0637,0.0469,0.00379,0.591,0.816,126.821,257400
1563,Fu-Gee-La,Fugees,0.682,0.505,-11.709,0.138,0.137,0.0,0.234,0.4,89.954,260067
1564,Refugee,Tom Petty and the Heartbreakers,0.579,0.705,-4.911,0.0339,0.0273,0.0,0.0704,0.761,116.172,201693
1565,On & On,Erykah Badu,0.762,0.403,-10.423,0.158,0.0396,0.0113,0.256,0.346,80.476,226133
1566,Apply Some Pressure,Maximo Park,0.378,0.953,-3.632,0.138,0.000719,2.89e-05,0.0936,0.512,167.808,200347
1567,Girls On Film,Duran Duran,0.741,0.572,-13.558,0.0731,0.00318,0.559,0.071,0.492,131.944,216267
1568,Open Up,Leftfield,0.387,0.838,-7.416,0.0382,0.000128,0.131,0.12,0.126,125.623,412200
1569,Rivers Of Babylon,The Melodians,0.746,0.458,-10.538,0.0392,0.568,0.00111,0.108,0.857,106.599,255267
1570,Svefn - G - Englar,Sigur Rós,0.22,0.555,-9.04,0.0484,0.557,0.716,0.111,0.0506,129.463,604267
1571,Mirror in the Bathroom,The Beat,0.633,0.637,-10.431,0.0464,0.151,0.0278,0.035,0.941,171.853,189667
1572,Children of the Revolution,T. Rex,0.484,0.853,-4.198,0.0441,0.0824,0.0,0.0793,0.745,130.507,149666
1573,Marcus Garvey,Burning Spear,0.717,0.343,-14.58,0.0937,0.101,0.00224,0.0423,0.553,91.312,204507
1574,Way To Blue,Nick Drake,0.116,0.205,-15.225,0.039,0.254,0.129,0.125,0.101,174.567,188187
1575,Dead Leaves And The Dirty Ground,The White Stripes,0.344,0.606,-4.064,0.033,0.458,3.05e-06,0.0737,0.459,80.595,184600
1576,Ooo Baby Baby - Album Version / Stereo,Smokey Robinson & The Miracles,0.188,0.342,-8.659,0.0297,0.786,0.0,0.104,0.469,179.255,168533
1577,I Need Love,LL Cool J,0.799,0.279,-20.734,0.283,0.0753,0.0,0.0826,0.671,88.226,322733
1578,If I Was Your Girlfriend,Prince,0.87,0.366,-18.998,0.0977,0.46,0.0139,0.071,0.819,96.74,301733
1579,Backstreets,Bruce Springsteen,0.225,0.889,-4.371,0.0337,0.201,0.734,0.379,0.599,96.02,390147
1580,Pony Blues,Charley Patton,0.422,0.265,-14.697,0.036,0.964,0.906,0.105,0.457,117.405,180625
1581,Fire,Arthur Brown,0.439,0.882,-9.036,0.087,0.541,0.671,0.793,0.317,138.551,174160
1582,The Boy with the Thorn in His Side - 2011 Remaster,The Smiths,0.514,0.87,-6.516,0.0419,0.208,4.1e-05,0.524,0.847,118.962,196627
1583,Brown Paper Bag,Roni Size,0.53,0.944,-3.863,0.0844,5.68e-05,0.856,0.394,0.487,169.778,542933
1584,The Mother We Share,CHVRCHES,0.463,0.715,-5.111,0.0304,0.0398,3.92e-06,0.126,0.335,173.854,191267
1585,Beetlebum - 2012 Remaster,Blur,0.542,0.626,-7.105,0.0242,0.0789,0.000508,0.277,0.813,89.734,305213
1586,Unbelievable,EMF,0.637,0.849,-6.855,0.0362,0.000341,0.0386,0.141,0.936,104.074,209813
1587,Tom Sawyer,Rush,0.436,0.884,-7.22,0.0455,0.0022,0.0154,0.058,0.72,175.113,276880
1588,Don't Let Me Down - Remastered,The Beatles,0.592,0.295,-10.534,0.0261,0.563,0.00071,0.109,0.734,76.066,215613
1589,Manic Monday,The Bangles,0.685,0.571,-11.623,0.0299,0.335,2.38e-06,0.214,0.869,121.737,184173
1590,Nowhere Man - Remastered,The Beatles,0.534,0.624,-9.589,0.0462,0.00797,0.0,0.128,0.687,121.402,163693
1591,Metal Guru,T. Rex,0.307,0.95,-3.427,0.138,0.00054,7.43e-05,0.313,0.524,127.895,149787
1592,That's the Way (I Like It) - 2004 Remaster,KC & The Sunshine Band,0.68,0.877,-10.241,0.0353,0.191,0.000656,0.349,0.922,108.674,185107
1593,Here Comes Your Man,Pixies,0.669,0.783,-12.302,0.0295,0.0475,0.0296,0.115,0.896,124.518,201693
1594,That's the Joint,Funky 4 + 1,0.851,0.954,-4.994,0.0961,0.153,0.0,0.319,0.86,105.406,562067
1595,Shipbuilding,Elvis Costello & The Attractions,0.346,0.29,-13.675,0.0333,0.733,9.26e-06,0.143,0.177,146.218,292720
1596,Drive,R.E.M.,0.469,0.42,-11.287,0.0287,0.21,0.000341,0.135,0.234,142.071,264707
1597,Sonic Reducer,Dead Boys,0.403,0.891,-8.907,0.139,0.00525,0.00379,0.0519,0.427,88.936,189333
1598,12:51,The Strokes,0.452,0.889,-3.838,0.0379,0.312,0.8,0.558,0.591,145.056,153133
1599,All Day And All Of The Night,The Kinks,0.552,0.885,-6.373,0.0796,0.198,3.1e-06,0.0511,0.698,136.92,141827
1600,Biko,Peter Gabriel,0.538,0.354,-10.968,0.0447,0.258,0.000222,0.298,0.166,179.056,452867
1601,Acid Tracks,Phuture,0.792,0.918,-14.205,0.0713,0.018,0.919,0.129,0.505,120.439,737173
1602,She Sells Sanctuary,The Cult,0.55,0.777,-8.592,0.0296,6.65e-06,0.821,0.0872,0.346,139.577,263000
1603,Nothing Ever Happened,Deerhunter,0.264,0.841,-6.31,0.0321,1.94e-05,0.834,0.109,0.716,150.102,350920
1604,This Is a Low - 2012 Remaster,Blur,0.265,0.5,-8.661,0.0325,0.211,0.00157,0.111,0.32,169.984,316907
1605,Sin City,The Flying Burrito Brothers,0.427,0.403,-14.064,0.0282,0.00558,3.57e-06,0.306,0.657,86.014,251533
1606,Pipeline,The Chantays,0.455,0.508,-14.246,0.0389,0.677,0.874,0.124,0.718,153.225,138720
1607,Ca plane pour moi,Plastic Bertrand,0.422,0.943,-4.365,0.0954,0.074,6.83e-05,0.105,0.845,165.764,182133
1608,Dominos,The Big Pink,0.441,0.9,-4.96,0.124,0.000568,2.93e-05,0.211,0.472,176.169,226053
1609,Ramble On - Remaster,Led Zeppelin,0.456,0.549,-13.111,0.0343,0.186,0.00227,0.0877,0.834,98.583,274010
1610,Albatross,Fleetwood Mac,0.253,0.0353,-22.412,0.0398,0.812,0.89,0.137,0.24,202.719,189307
1611,Los Angeles,X,0.614,0.755,-5.829,0.0276,0.0162,1.9e-06,0.0831,0.645,92.622,144787
1612,Racing in the Street,Bruce Springsteen,0.569,0.273,-12.512,0.03,0.587,0.000512,0.128,0.241,86.598,412973
1613,Your Love is Killing Me,Sharon Van Etten,0.396,0.714,-6.271,0.0379,0.553,0.372,0.11,0.116,121.122,378187
1614,Susie-Q,Dale Hawkins,0.44,0.695,-6.164,0.055,0.179,0.0017,0.291,0.822,142.342,136733
1615,I Melt with You,Modern English,0.542,0.804,-11.752,0.035,0.00102,0.00311,0.0658,0.687,155.601,251573
1616,Spoonful,Howlin' Wolf,0.884,0.403,-12.037,0.0589,0.728,0.000285,0.184,0.629,119.771,167067
1617,Detroit Rock City,KISS,0.466,0.922,-7.847,0.157,0.0871,0.000838,0.69,0.201,91.122,318200
1618,Me and Mrs. Jones,Billy Paul,0.303,0.555,-9.259,0.0482,0.388,1.16e-06,0.468,0.447,67.322,285760
1619,Baker Street,Gerry Rafferty,0.497,0.349,-14.0,0.0297,0.0929,0.028,0.259,0.421,113.762,365627
1620,I'll Be There For You/You're All I Need To Get By,Method Man,0.716,0.674,-8.639,0.0502,0.161,5.18e-05,0.332,0.649,95.013,309227
1621,1969,The Stooges,0.495,0.751,-7.334,0.0554,0.000728,0.0342,0.591,0.725,107.073,245520
1622,Night Nurse,Gregory Isaacs,0.822,0.298,-14.86,0.162,0.0318,0.0299,0.0316,0.931,74.679,245667
1623,Cut To The Feeling,Carly Rae Jepsen,0.71,0.909,-2.777,0.0639,0.0135,0.00123,0.303,0.648,115.001,207960
1624,Express Yourself,N.W.A.,0.87,0.637,-9.065,0.296,0.0119,0.0,0.19,0.949,95.038,265027
1625,Daft Punk Is Playing At My House,LCD Soundsystem,0.925,0.923,-4.441,0.0418,0.0214,0.000152,0.0417,0.975,135.971,316827
1626,Evil,Interpol,0.497,0.738,-4.09,0.0396,0.00128,0.653,0.0725,0.599,129.078,215827
1627,Walking On Thin Ice,Yoko Ono,0.753,0.893,-6.165,0.0395,0.185,0.0538,0.389,0.964,118.818,360733
1628,Money For Nothing,Dire Straits,0.642,0.766,-6.82,0.0401,0.0407,0.000103,0.0593,0.593,134.185,504333
1629,Party Fears Two,The Associates,0.542,0.874,-5.351,0.058,0.0511,0.00148,0.163,0.625,128.46,312107
1630,Crying in the Chapel,The Orioles,0.278,0.114,-16.452,0.0406,0.913,0.0,0.158,0.509,175.474,184907
1631,Northern Sky,Nick Drake,0.539,0.261,-18.45,0.0393,0.54,0.785,0.128,0.466,89.837,223867
1632,Dear Mr. Fantasy,Traffic,0.24,0.615,-14.117,0.0677,0.171,0.0125,0.0801,0.768,166.657,334000
1633,Everybody Needs Somebody To Love,Solomon Burke,0.588,0.411,-13.282,0.0737,0.444,0.0,0.266,0.84,149.153,172947
1634,Hungry Like the Wolf - 2009 Remaster,Duran Duran,0.691,0.812,-7.772,0.0558,0.0433,1.16e-06,0.299,0.685,127.568,220627
1635,Love Train,The O'Jays,0.738,0.561,-9.643,0.0475,0.076,4.24e-05,0.141,0.721,122.679,178360
1636,No Rain,Blind Melon,0.389,0.476,-9.342,0.0316,0.619,5.09e-05,0.255,0.566,148.117,217107
1637,Caught By the Fuzz,Supergrass,0.322,0.952,-6.925,0.205,0.000202,0.219,0.0671,0.257,161.79,136773
1638,Chop Suey!,System Of A Down,0.42,0.929,-3.899,0.121,0.000353,0.000747,0.122,0.3,127.204,210240
1639,Emerge,Fischerspooner,0.607,0.734,-7.622,0.0445,0.0906,0.812,0.0925,0.569,147.941,288307
1640,Feel You,Julia Holter,0.445,0.711,-5.483,0.0304,0.0111,5.89e-05,0.0932,0.381,142.034,248653
1641,The Payback,James Brown,0.866,0.639,-10.97,0.188,0.147,0.000177,0.793,0.792,97.901,459533
1642,Totally Wired,The Fall,0.456,0.558,-11.748,0.0798,9.84e-05,0.798,0.0993,0.675,167.568,204560
1643,What a Waster,The Libertines,0.127,0.92,-2.972,0.0702,0.00451,5.22e-06,0.347,0.437,171.796,179053
1644,Rock N Roll Nigger,Patti Smith,0.41,0.804,-8.478,0.0454,0.00635,3.85e-06,0.207,0.634,152.205,204360
1645,Learn to Fly,Foo Fighters,0.459,0.925,-4.247,0.045,1.63e-05,9.2e-06,0.256,0.515,135.994,235293
1646,Forever Young - Slow Version,Bob Dylan,0.488,0.493,-9.878,0.0464,0.255,0.000181,0.102,0.389,135.093,296133
1647,La mer (Beyond the Sea),Charles Trenet,0.342,0.228,-12.211,0.0359,0.935,0.00248,0.114,0.354,84.753,201271
1648,Fever,Peggy Lee,0.742,0.0899,-19.187,0.158,0.0906,0.0,0.113,0.351,137.473,201333
1649,Lazy Sunday (Mono),Small Faces,0.577,0.627,-8.036,0.0476,0.105,3.09e-06,0.684,0.299,134.058,184293
1650,Silent Shout,The Knife,0.601,0.701,-10.488,0.0394,0.107,0.89,0.123,0.388,128.559,293640
1651,Manteca,Dizzy Gillespie,0.459,0.706,-7.031,0.313,0.863,0.891,0.105,0.601,172.996,192427
1652,Ladies and Gentlemen We Are Floating in Space,Spiritualized,0.378,0.409,-11.468,0.0337,0.753,0.000528,0.234,0.184,100.087,234053
1653,Five Years - 2012 Remastered Version,David Bowie,0.46,0.326,-10.699,0.0418,0.142,1.01e-05,0.0449,0.321,152.54,283753
1654,Stylo (feat. Mos Def and Bobby Womack),Gorillaz,0.686,0.751,-5.747,0.0604,0.00604,0.000849,0.0979,0.851,100.222,270520
1655,"Black (First Movement Of Black, Brown And Beige) - Live",Duke Ellington,0.402,0.0865,-21.101,0.0483,0.924,0.364,0.786,0.177,106.85,1312960
1656,Games Without Frontiers,Peter Gabriel,0.735,0.724,-9.563,0.0518,0.349,3.02e-05,0.132,0.921,96.046,246667
1657,Over Everything,Courtney Barnett,0.542,0.868,-4.581,0.037,0.114,0.0224,0.356,0.65,120.016,379853
1658,Don't Let Me Be Misunderstood,The Animals,0.546,0.568,-9.604,0.0285,0.146,0.0,0.77,0.488,112.584,145693
1659,When A Fire Starts To Burn,Disclosure,0.86,0.732,-6.956,0.207,0.00963,0.00115,0.243,0.672,123.963,283706
1660,Da Ya Think I'm Sexy?,Rod Stewart,0.715,0.689,-8.065,0.029,0.0143,0.000192,0.111,0.852,111.504,331333
1661,Go,Moby,0.618,0.796,-7.477,0.049,0.00024,0.917,0.0813,0.694,134.015,240733
1662,Lovesick Blues - Single Version,Hank Williams,0.764,0.22,-13.096,0.0544,0.952,2.16e-06,0.161,0.688,126.164,165240
1663,Shelter from the Storm,Bob Dylan,0.486,0.241,-17.337,0.0366,0.413,3.51e-05,0.0928,0.614,106.574,301133
1664,Let's Have A Party,Wanda Jackson,0.522,0.901,-8.549,0.0479,0.535,8.47e-06,0.176,0.916,166.886,131200
1665,Welcome To The Terrordome,Public Enemy,0.751,0.782,-12.662,0.256,0.0991,0.0,0.277,0.587,110.721,325840
1666,Fallin',Alicia Keys,0.653,0.609,-7.519,0.037,0.263,0.00101,0.233,0.482,95.982,210200
1667,Bette Davis Eyes,Kim Carnes,0.675,0.649,-10.271,0.0319,0.0204,0.0,0.0959,0.596,116.624,228000
1668,"That Lady, Pts. 1 & 2",The Isley Brothers,0.343,0.857,-6.296,0.0696,0.0926,8.45e-06,0.179,0.912,126.536,334360
1669,Supermassive Black Hole,Muse,0.668,0.921,-3.727,0.0439,0.0492,0.00517,0.0877,0.782,120.0,212440
1670,Shining Star,"Earth, Wind & Fire",0.676,0.692,-13.093,0.052,0.668,0.00915,0.13,0.799,102.516,170160
1671,Nutbush City Limits,Ike & Tina Turner,0.539,0.782,-10.042,0.0514,0.0437,0.012,0.0898,0.795,153.646,182227
1672,On The Beach - Remastered,Neil Young,0.677,0.352,-12.153,0.0341,0.63,0.0564,0.118,0.416,117.342,419307
1673,Cruel,St. Vincent,0.57,0.704,-8.32,0.0314,0.0104,0.455,0.0905,0.437,115.041,214987
1674,In For The Kill,La Roux,0.629,0.969,-0.276,0.0455,0.00184,0.0,0.122,0.905,150.01,248627
1675,Moonlight Serenade,Glenn Miller,0.343,0.157,-11.116,0.0295,0.958,0.113,0.178,0.0673,78.328,201400
1676,Freddie's Dead,Curtis Mayfield,0.532,0.79,-7.282,0.0655,0.0617,0.00051,0.0942,0.959,91.268,324399
1677,When The Sun Goes Down,Arctic Monkeys,0.35,0.874,-4.755,0.186,0.0363,0.0,0.108,0.416,169.512,200013
1678,Alternative Ulster,Stiff Little Fingers,0.439,0.971,-5.855,0.177,0.0148,1.34e-05,0.255,0.24,118.369,163880
1679,There Goes The Fear,Doves,0.499,0.975,-4.504,0.0538,8.6e-05,0.0721,0.0258,0.509,109.997,414080
1680,Jamming,Bob Marley & The Wailers,0.934,0.4,-14.834,0.328,0.381,4.18e-05,0.103,0.805,123.696,214973
1681,Fake Tales Of San Francisco,Arctic Monkeys,0.454,0.778,-4.225,0.0449,0.00998,0.0,0.0427,0.704,127.158,177947
1682,Singin' in the Rain,Gene Kelly,0.41,0.233,-13.65,0.0372,0.925,0.00351,0.191,0.501,136.551,255687
1683,When You Were Young,The Killers,0.467,0.988,-3.313,0.112,0.000152,0.0484,0.28,0.321,130.435,220427
1684,Ain't Nobody,Chaka Khan,0.799,0.878,-7.109,0.0434,0.189,0.000105,0.14,0.816,104.284,280853
1685,Hello,Adele,0.481,0.451,-6.095,0.0347,0.336,0.0,0.0872,0.289,157.966,295493
1686,33 “GOD”,Bon Iver,0.52,0.389,-10.476,0.0403,0.83,0.0265,0.0937,0.326,133.113,213000
1687,Jet - Remastered 2010,Paul McCartney,0.504,0.739,-7.265,0.0316,0.0179,0.08,0.0949,0.417,128.918,248360
1688,Inspector Norse,Todd Terje,0.912,0.781,-7.018,0.0444,0.074,0.762,0.348,0.89,119.978,400751
1689,Black and Tan Fantasy,Duke Ellington & His Washingtonians,0.492,0.194,-14.073,0.0577,0.984,0.104,0.182,0.368,91.353,203373
1690,Hounds of Love,The Futureheads,0.361,0.898,-3.813,0.124,0.0293,2.76e-06,0.0634,0.417,168.192,182773
1691,Goddess On A Hiway,Mercury Rev,0.474,0.73,-6.947,0.0386,0.0614,9.22e-05,0.104,0.292,145.303,225333
1692,She Said She Said - Remastered,The Beatles,0.329,0.678,-7.878,0.0344,0.103,0.168,0.843,0.672,106.476,156040
1693,Let The Music Play,Shannon,0.783,0.856,-5.302,0.0945,0.000454,0.196,0.221,0.847,118.093,214960
1694,Rhapsody In Blue,Paul Whiteman Orchestra,0.347,0.26,-15.117,0.0433,0.984,0.866,0.545,0.198,83.484,539977
1695,Smooth Operator,Sade,0.794,0.56,-6.491,0.0319,0.367,0.0107,0.0371,0.963,119.813,298893
1696,Babies,Pulp,0.299,0.818,-7.942,0.0649,0.113,2.46e-06,0.0827,0.604,156.193,244827
1697,Got To Give It Up - Album Edit,Marvin Gaye,0.845,0.807,-9.766,0.0407,0.238,0.00401,0.359,0.852,123.111,361107
1698,Helpless,"Crosby, Stills, Nash & Young",0.538,0.258,-13.603,0.0309,0.86,0.00599,0.134,0.376,114.151,217133
1699,El Matador,Los Fabulosos Cadillacs,0.557,0.895,-10.559,0.0715,0.0345,0.0181,0.057,0.634,193.783,273360
1700,I Can Change,LCD Soundsystem,0.644,0.73,-6.565,0.0287,0.00215,0.00178,0.233,0.695,116.981,352004
1701,Miss Misery (Early Version),Elliott Smith,0.446,0.186,-16.225,0.0389,0.899,0.433,0.102,0.355,134.766,176267
1702,"Theme from S'Express - 12"" Version",S'Express,0.684,0.719,-11.881,0.0457,0.000266,7.76e-05,0.252,0.553,117.226,359293
1703,Welcome to the Black Parade,My Chemical Romance,0.217,0.905,-4.103,0.0752,0.000289,0.00011,0.222,0.236,96.95,311107
1704,Day 'N' Nite (Nightmare),Kid Cudi,0.88,0.443,-6.359,0.0653,0.462,7.13e-06,0.122,0.803,138.018,221240
1705,Rip It Up,Orange Juice,0.881,0.546,-9.357,0.0407,0.0532,0.000149,0.0497,0.852,102.814,320413
1706,The Drowners (Remastered),Suede,0.44,0.906,-4.78,0.0392,0.0453,0.0,0.0875,0.652,148.111,250160
1707,Come To Daddy (Pappy Mix),Aphex Twin,0.421,0.944,-9.179,0.302,0.0764,0.815,0.119,0.222,162.179,262533
1708,American Boy (feat. Kanye West),Estelle,0.727,0.729,-2.99,0.326,0.171,0.0,0.07,0.512,117.932,284733
1709,I Want You,Elvis Costello & The Attractions,0.494,0.131,-17.777,0.069,0.329,0.0,0.347,0.217,123.835,401293
1710,Stuck In The Middle With You,Stealers Wheel,0.745,0.616,-8.851,0.0351,0.0536,0.000507,0.139,0.961,124.437,203000
1711,Crazy Blues,Mamie Smith,0.436,0.178,-13.36,0.0448,0.996,0.912,0.259,0.464,111.858,202240
1712,Dirty Water,The Standells,0.657,0.721,-8.572,0.0378,0.0321,0.0,0.0796,0.778,143.202,167000
1713,Blue Eyes Crying in the Rain,Willie Nelson,0.626,0.075,-17.552,0.0387,0.921,0.00251,0.115,0.368,117.907,139400
1714,Lust For Life,Girls,0.259,0.696,-6.107,0.032,0.0114,0.159,0.148,0.516,77.186,145293
1715,"I've Seen All Good People: a. Your Move, b. All Good People - 2003 Remaster",Yes,0.417,0.425,-11.689,0.062,0.0418,1.31e-05,0.0897,0.498,134.917,413347
1716,Why Does My Heart Feel So Bad?,Moby,0.597,0.628,-6.924,0.0348,0.00109,0.151,0.085,0.0529,98.004,264840
1717,Mother's Little Helper - (Original Single Mono Version),The Rolling Stones,0.603,0.637,-7.046,0.0288,0.0643,9.86e-05,0.324,0.672,101.101,165173
1718,Swastika Eyes - Jagz Kooner Mix,Primal Scream,0.463,0.953,-7.164,0.0368,5.05e-06,0.437,0.181,0.326,133.762,424333
1719,Addicted To Love,Robert Palmer,0.703,0.579,-12.786,0.0308,0.37,7.07e-06,0.117,0.973,111.583,359816
1720,Run Away With Me,Carly Rae Jepsen,0.564,0.719,-5.505,0.0475,0.0126,0.000177,0.0536,0.251,119.023,251320
1721,99 Luftballons,Nena,0.636,0.467,-10.1,0.0421,0.0915,1.7e-06,0.117,0.58,96.639,231467
1722,Crocodile Rock,Elton John,0.618,0.798,-7.705,0.034,0.0304,1.01e-05,0.0655,0.969,149.779,235080
1723,Heartbeat,Annie,0.691,0.7,-6.695,0.0274,0.00457,0.186,0.245,0.618,128.005,184738
1724,Mysterious Ways,U2,0.675,0.664,-8.064,0.0287,0.0016,0.0126,0.103,0.668,99.794,243587
1725,Dead End Street,The Kinks,0.599,0.651,-8.676,0.0661,0.545,0.0104,0.594,0.56,125.492,196400
1726,(We Don't Need This) Fascist Groove Thang - Remastered 2006,Heaven 17,0.691,0.931,-7.457,0.121,0.216,0.656,0.631,0.684,150.093,261133
1727,Freedom! '90,George Michael,0.673,0.813,-10.966,0.0445,0.153,2.87e-05,0.0547,0.896,91.786,390867
1728,Downtown Train,Tom Waits,0.665,0.43,-13.62,0.117,0.465,0.0488,0.0965,0.701,115.399,230000
1729,Countdown,Beyoncé,0.665,0.787,-5.73,0.151,0.308,0.0,0.219,0.699,167.349,212147
1730,Wooden Ships - 2005 Remaster,"Crosby, Stills & Nash",0.475,0.303,-13.39,0.0313,0.666,0.0765,0.112,0.57,79.202,326293
1731,Sally Go Round The Roses,The Jaynetts,0.694,0.453,-12.583,0.0327,0.234,0.546,0.0703,0.457,146.6,195400
1732,Blue Moon - 2004 Remaster,The Marcels,0.617,0.5,-7.979,0.0396,0.685,0.0,0.0778,0.904,127.7,136653
1733,Don't Stop - 2004 Remaster,Fleetwood Mac,0.672,0.72,-7.781,0.035,0.0373,9.38e-06,0.0371,0.828,118.731,193347
1734,(Get Your Kicks On) Route 66 - Remastered,Nat King Cole Trio,0.767,0.195,-15.542,0.0618,0.955,0.000247,0.127,0.55,140.774,183267
1735,Walking On The Moon - Remastered 2003,The Police,0.514,0.34,-12.779,0.0537,0.00142,0.0173,0.213,0.269,145.992,300827
1736,Love Me Do - Mono / Remastered,The Beatles,0.524,0.88,-3.865,0.0987,0.404,0.000191,0.154,0.758,148.058,140173
1737,Do It Again,Röyksopp,0.616,0.671,-5.37,0.054,0.00193,0.00402,0.0771,0.783,123.939,306324
1738,Lullaby - Remastered,The Cure,0.719,0.553,-10.646,0.0349,0.186,0.677,0.0659,0.573,94.093,248187
1739,Wildwood Flower,A. P. Carter,0.609,0.257,-13.194,0.0295,0.947,0.00307,0.132,0.47,109.379,190507
1740,Both Sides Now,Joni Mitchell,0.623,0.156,-15.098,0.0308,0.912,0.0,0.141,0.329,97.235,274560
1741,Eve Of Destruction,Barry McGuire,0.613,0.307,-17.385,0.0414,0.387,4.52e-06,0.087,0.789,117.305,215827
1742,Two Sevens Clash,Culture,0.765,0.551,-8.64,0.083,0.00442,0.0,0.0559,0.711,136.452,208053
1743,I Was Made To Love Her,Stevie Wonder,0.349,0.543,-10.577,0.0429,0.296,0.0,0.0665,0.875,202.426,158667
1744,It's Only Rock 'n' Roll (But I Like It) - Remastered,The Rolling Stones,0.615,0.891,-9.251,0.0474,0.388,0.136,0.187,0.817,128.552,307173
1745,Bernadette,Four Tops,0.659,0.825,-7.559,0.0307,0.143,0.0,0.0736,0.688,111.031,185907
1746,Daydreaming,Radiohead,0.299,0.263,-13.207,0.0323,0.968,0.857,0.126,0.113,137.848,384439
1747,Chime - edit,Orbital,0.687,0.988,-5.784,0.0449,0.000247,0.732,0.0792,0.402,120.958,193293
1748,I Will Always Love You,Whitney Houston,0.306,0.214,-12.518,0.0356,0.844,5.3e-06,0.0839,0.108,66.98,271093
1749,Oh Happy Day,The Edwin Hawkins Singers,0.321,0.462,-10.711,0.0346,0.0961,0.0,0.102,0.457,116.782,308600
1750,Poker Face,Lady Gaga,0.849,0.826,-4.609,0.0752,0.124,2.28e-06,0.0869,0.753,119.002,237400
1751,What Do I Get? - 1996 Remastered Version,Buzzcocks,0.249,0.922,-7.929,0.118,0.00176,0.0,0.408,0.199,176.509,174053
1752,Reckoner,Radiohead,0.518,0.656,-7.438,0.0264,0.511,0.156,0.0679,0.203,104.282,290213
1753,It's A Long Way To The Top (If You Wanna Rock 'N' Roll),AC/DC,0.449,0.87,-3.537,0.0853,0.124,0.0893,0.0553,0.532,135.796,301267
1754,Levi Stubbs' Tears,Billy Bragg,0.437,0.565,-5.937,0.0335,0.598,1e-05,0.417,0.517,135.416,211773
1755,Owner Of A Lonely Heart,Yes,0.733,0.553,-13.924,0.0382,0.252,0.00257,0.147,0.934,124.993,266267
1756,Slip Away,Perfume Genius,0.603,0.509,-6.824,0.0312,0.371,2.66e-05,0.0627,0.572,136.592,165330
1757,Karmacoma,Massive Attack,0.801,0.536,-14.334,0.224,0.00545,0.183,0.204,0.667,141.068,316440
1758,Breezeblocks,alt-J,0.609,0.642,-7.337,0.0341,0.11,0.000986,0.172,0.296,150.087,227080
1759,Wildest Moments,Jessie Ware,0.564,0.769,-6.772,0.0485,0.243,0.132,0.477,0.474,83.023,222168
1760,Stronger,Kanye West,0.617,0.717,-7.858,0.153,0.00564,0.0,0.408,0.49,103.992,311867
1761,Are You Experienced?,Jimi Hendrix,0.403,0.763,-6.727,0.118,0.0277,0.00985,0.148,0.455,82.812,255613
1762,Landslide,Fleetwood Mac,0.414,0.161,-22.32,0.0318,0.883,0.000223,0.117,0.423,159.375,199493
1763,Move Your Feet,Junior Senior,0.747,0.904,-2.623,0.0803,0.046,0.106,0.203,0.846,118.877,181827
1764,Last Night (a Dj Saved My Life) - Original Version,Intodeep,0.697,0.855,-11.205,0.0504,0.00447,0.287,0.0384,0.737,118.27,390533
1765,Twist And Shout - Remastered,The Beatles,0.482,0.849,-9.198,0.0452,0.641,7.74e-06,0.0414,0.937,124.631,155227
1766,Hotel Yorba,The White Stripes,0.383,0.785,-2.546,0.0878,0.482,0.0,0.0797,0.748,195.105,130333
1767,Ivy,Frank Ocean,0.567,0.388,-9.579,0.0384,0.782,0.000309,0.248,0.452,116.362,249191
1768,I Believe in a Thing Called Love,The Darkness,0.442,0.846,-5.214,0.0764,0.0538,4.71e-06,0.282,0.622,128.235,217653
1769,"Crossroads - Live At Winterland, San Francisco / 1968",Cream,0.393,0.697,-12.808,0.0558,0.389,0.0195,0.865,0.851,131.625,258467
1770,Interstate Love Song,Stone Temple Pilots,0.214,0.947,-5.053,0.0507,0.000552,0.00352,0.238,0.483,170.616,193613
1771,Cherry Bomb,The Runaways,0.501,0.813,-8.192,0.0639,0.0455,4.75e-05,0.131,0.495,136.59,138707
1772,We're Not Gonna Take It,The Who,0.445,0.401,-8.962,0.0341,0.0298,0.0,0.0684,0.18,131.61,426137
